Feature,Coefficient
Breathing Rate min Breathing Rate skewness,0.3667827139447573
Hear Rate skewness Pulse Pressure variability,0.18159327699738068
First window timestamp Oxygen Saturation mean,0.13355800667520515
Oxygen Saturation min Systolic Blood Pressure max,0.12887774386356082
Hear Rate variability Hear Rate kurtosis,0.09519990067363415
Hear Rate kurtosis Systolic Blood Pressure mean,0.08087548294817583
Hear Rate skewness Breathing Rate min,0.0705169663010074
Oxygen Saturation variability,0.025829457402707326
Hear Rate skewness Breathing Rate skewness,0.004753639456203672
Oxygen Saturation min Pulse Pressure variability,0.0
Oxygen Saturation min Systolic Blood Pressure kurtosis,0.0
Oxygen Saturation min Diastolic Bood Pressure slope,0.0
Oxygen Saturation min Pulse Pressure mean,0.0
Oxygen Saturation slope Breathing Rate min,0.0
Oxygen Saturation slope Breathing Rate variability,0.0
Oxygen Saturation min Breathing Rate kurtosis,0.0
Oxygen Saturation slope Breathing Rate skewness,0.0
Oxygen Saturation slope Breathing Rate kurtosis,0.0
Oxygen Saturation slope Systolic Blood Pressure mean,0.0
Oxygen Saturation slope Systolic Blood Pressure max,0.0
Oxygen Saturation slope Systolic Blood Pressure kurtosis,0.0
Oxygen Saturation slope Diastolic Bood Pressure slope,0.0
Oxygen Saturation min Systolic Blood Pressure mean,0.0
First window timestamp,0.0
Oxygen Saturation min Breathing Rate skewness,0.0
Oxygen Saturation slope Pulse Pressure variability,0.0
Oxygen Saturation mean Systolic Blood Pressure max,0.0
Oxygen Saturation mean Systolic Blood Pressure kurtosis,0.0
Oxygen Saturation mean Diastolic Bood Pressure slope,0.0
Oxygen Saturation mean Pulse Pressure mean,0.0
Oxygen Saturation mean Pulse Pressure variability,0.0
Oxygen Saturation variability Oxygen Saturation slope,0.0
Oxygen Saturation variability Breathing Rate min,0.0
Oxygen Saturation variability Breathing Rate skewness,0.0
Oxygen Saturation variability Breathing Rate kurtosis,0.0
Oxygen Saturation variability Systolic Blood Pressure mean,0.0
Oxygen Saturation variability Systolic Blood Pressure max,0.0
Oxygen Saturation variability Systolic Blood Pressure kurtosis,0.0
Oxygen Saturation variability Diastolic Bood Pressure slope,0.0
Oxygen Saturation variability Pulse Pressure mean,0.0
Oxygen Saturation variability Pulse Pressure variability,0.0
Oxygen Saturation min Oxygen Saturation slope,0.0
Oxygen Saturation min Breathing Rate variability,0.0
Oxygen Saturation slope Pulse Pressure mean,0.0
Breathing Rate variability Systolic Blood Pressure mean,0.0
Breathing Rate variability Breathing Rate skewness,0.0
Breathing Rate variability Breathing Rate kurtosis,0.0
Breathing Rate kurtosis Systolic Blood Pressure kurtosis,0.0
Breathing Rate kurtosis Diastolic Bood Pressure slope,0.0
Breathing Rate kurtosis Pulse Pressure mean,0.0
Breathing Rate kurtosis Pulse Pressure variability,0.0
Systolic Blood Pressure mean Systolic Blood Pressure max,0.0
Systolic Blood Pressure mean Systolic Blood Pressure kurtosis,0.0
Systolic Blood Pressure mean Diastolic Bood Pressure slope,0.0
Systolic Blood Pressure mean Pulse Pressure mean,0.0
Systolic Blood Pressure mean Pulse Pressure variability,0.0
Systolic Blood Pressure max Diastolic Bood Pressure slope,0.0
Systolic Blood Pressure max Pulse Pressure mean,0.0
Systolic Blood Pressure max Pulse Pressure variability,0.0
Systolic Blood Pressure kurtosis Diastolic Bood Pressure slope,0.0
Systolic Blood Pressure kurtosis Pulse Pressure mean,0.0
Systolic Blood Pressure kurtosis Pulse Pressure variability,0.0
Diastolic Bood Pressure slope Pulse Pressure mean,0.0
Pulse Pressure mean Pulse Pressure variability,0.0
Breathing Rate kurtosis Systolic Blood Pressure max,0.0
Breathing Rate kurtosis Systolic Blood Pressure mean,0.0
Breathing Rate skewness Pulse Pressure variability,0.0
Breathing Rate min Systolic Blood Pressure kurtosis,0.0
Hear Rate variability,0.0
