Feature,Coefficient,Train set stdev,Odds ratio
Breathing Rate min Breathing Rate skewness,0.3667827139447573,42.84277286450152,1.008597885181444
Heart Rate skewness Pulse Pressure variability,0.18159327699738068,9.326871568032594,1.019660676826809
First window timestamp Oxygen Saturation mean,0.13355800667520515,191449.85870598065,1.0000006976137468
Oxygen Saturation min Systolic Blood Pressure max,0.12887774386356082,2123.257779420406,1.0000606999566939
Heart Rate variability Heart Rate kurtosis,0.09519990067363415,213.48005337891732,1.0004460422844152
Heart Rate kurtosis Systolic Blood Pressure mean,0.08087548294817583,126.80387332208277,1.0006380032210018
Heart Rate skewness Breathing Rate min,0.0705169663010074,13.425886630982827,1.0052661311317632
Oxygen Saturation variability,0.025829457402707326,4.0359384705710095,1.0064203869071007
Heart Rate skewness Breathing Rate skewness,0.004753639456203672,1.2487607249468666,1.0038139402193842
Oxygen Saturation min Pulse Pressure variability,0.0,736.0879326968123,1.0
Oxygen Saturation min Systolic Blood Pressure kurtosis,0.0,1855.2949499267422,1.0
Oxygen Saturation min Diastolic Bood Pressure slope,0.0,0.42258672962093347,1.0
Oxygen Saturation min Pulse Pressure mean,0.0,414.9502374986942,1.0
Oxygen Saturation slope Breathing Rate min,0.0,0.03925484342486937,1.0
Oxygen Saturation slope Breathing Rate variability,0.0,0.16715801879745507,1.0
Oxygen Saturation min Breathing Rate kurtosis,0.0,3791.155348928815,1.0
Oxygen Saturation slope Breathing Rate skewness,0.0,0.006580318658766133,1.0
Oxygen Saturation slope Breathing Rate kurtosis,0.0,0.2027036044127707,1.0
Oxygen Saturation slope Systolic Blood Pressure mean,0.0,0.11974561288365572,1.0
Oxygen Saturation slope Systolic Blood Pressure max,0.0,0.18521045788111662,1.0
Oxygen Saturation slope Systolic Blood Pressure kurtosis,0.0,0.030807124527111665,1.0
Oxygen Saturation slope Diastolic Bood Pressure slope,0.0,1.203019287086188e-05,1.0
Oxygen Saturation min Systolic Blood Pressure mean,0.0,893.3359582927914,1.0
First window timestamp,0.0,2009.3553311856901,1.0
Oxygen Saturation min Breathing Rate skewness,0.0,144.0812511415901,1.0
Oxygen Saturation slope Pulse Pressure variability,0.0,0.029887731039126123,1.0
Oxygen Saturation mean Systolic Blood Pressure max,0.0,2360.65148760365,1.0
