Feature,Coefficient
Mean Blood Pressure mean,10.731141571611536
Heart Rate mean,2.8472455392244767
Heart Rate min,2.3636795592906363
Systolic Blood Pressure variability,1.9580176242519332
Systolic Blood Pressure max,1.7178553838502335
Heart Rate variability,1.304550217072518
Diastolic Bood Pressure skewness,1.1975879421288547
Pulse Pressure max,0.4998209294764032
Breathing Rate variability,0.4563792265781844
Diastolic Bood Pressure kurtosis,0.43590275072979195
Heart Rate kurtosis,0.40326147196177514
Heart Rate slope,0.35473805509952105
Gestational age,0.34633269296010605
Breathing Rate kurtosis,0.34137232579256566
Breathing Rate min,0.29066800466003223
Breathing Rate skewness,0.25127889477962423
Systolic Blood Pressure min,0.24154635048819972
Oxygen Saturation drops,0.2339208046522215
Ventilation status,0.14273470357335777
Breathing Rate mean,0.1389358615540953
Mean Blood Pressure skewness,0.10938992609998213
Oxygen Saturation slope,0.10611698053226502
Oxygen Saturation mean,0.09297402242011074
Oxygen Saturation skewness,0.08195007516015387
Hypothermia status,0.06330053075059268
Mean Blood Pressure slope,0.056435164101037785
Pulse Pressure kurtosis,0.036969928593514494
Heart Rate - Oxygen sat. min. cross-correlation,-0.016404665318550882
Oxygen Saturation max,-0.024797712883257515
Pulse Pressure slope,-0.026959340469644235
Pulse Pressure skewness,-0.047496777713753026
Oxygen Saturation kurtosis,-0.08336427664421428
Diastolic Bood Pressure min,-0.09128054201818865
Mean Blood Pressure min,-0.10069324715889538
Breathing Rate slope,-0.13672774134655916
Systolic Blood Pressure slope,-0.15056820786166372
Bradycardia count,-0.15807330393172392
Oxygen Saturation variability,-0.18110787456508667
Systolic Blood Pressure kurtosis,-0.1972501589023784
Pulse Pressure min,-0.20091020678272475
Mean Blood Pressure kurtosis,-0.2715283741015185
Diastolic Bood Pressure slope,-0.28700883114063697
Heart Rate skewness,-0.32423382303699455
Heart Rate - Oxygen sat. max. cross-correlation,-0.41924906223179004
Oxygen Saturation min,-0.6374890563964771
Mean Blood Pressure max,-0.6971586651236901
Systolic Blood Pressure skewness,-0.7325351724416507
Breathing Rate max,-0.7957741595500677
Pulse Pressure variability,-0.8200422717879507
First window timestamp,-1.1588627388592223
Mean Blood Pressure variability,-1.3924540119306794
Pulse Pressure mean,-1.5773800635781359
Diastolic Bood Pressure max,-2.2509335035801787
Diastolic Bood Pressure variability,-2.4348887477564913
Tachycardia count,-4.055495581017965
Heart Rate max,-4.633884910267931
Systolic Blood Pressure mean,-5.080156153162602
Intercept,-5.130310073952372
Diastolic Bood Pressure mean,-5.716986752004594
