Feature,Coefficient,Train set stdev,Odds ratio
Mean Blood Pressure mean,10.731141571611536,5.954480670019051,6.062947419851436
Heart Rate mean,2.8472455392244767,19.656656567130828,1.1558649328049375
Heart Rate min,2.3636795592906363,18.957088776092924,1.1327924605783697
Systolic Blood Pressure variability,1.9580176242519332,29.93578052488956,1.0675937327876956
Systolic Blood Pressure max,1.7178553838502335,17.47671257911477,1.1032870658108676
Heart Rate variability,1.304550217072518,68.73265363496542,1.0191613311884775
Diastolic Bood Pressure skewness,1.1975879421288547,1.9811973485576817,1.8302944487527444
Pulse Pressure max,0.4998209294764032,7.622687066260404,1.067767665920704
Breathing Rate variability,0.4563792265781844,55.404195642223534,1.0082712879787192
Diastolic Bood Pressure kurtosis,0.43590275072979195,26.09877409252069,1.016842298145917
Heart Rate kurtosis,0.40326147196177514,4.60983873527417,1.091418726275836
Heart Rate slope,0.35473805509952105,0.03990932324634262,7248.8717484075605
Gestational age,0.34633269296010605,1.6123028977939864,1.2396216613349615
Breathing Rate kurtosis,0.34137232579256566,34.45083592758861,1.009958227167675
Breathing Rate min,0.29066800466003223,8.949283106978978,1.033012688923317
Breathing Rate skewness,0.25127889477962423,2.4809126974629616,1.10659182041338
Systolic Blood Pressure min,0.24154635048819972,8.058367785826826,1.030428360671086
Oxygen Saturation drops,0.2339208046522215,2.9211176418046265,1.0833728825366113
Ventilation status,0.14273470357335777,0.6032188802470825,1.2669617914703521
Breathing Rate mean,0.1389358615540953,12.881105651356403,1.0108443986892133
Mean Blood Pressure skewness,0.10938992609998213,3.004399464481347,1.0370808733337715
Oxygen Saturation slope,0.10611698053226502,0.007139032482684943,2854297.8089369047
Oxygen Saturation mean,0.09297402242011074,2.290509458166784,1.0414260537956361
Oxygen Saturation skewness,0.08195007516015387,3.4190961942745606,1.0242578938909368
Hypothermia status,0.06330053075059268,0.9759840469741861,1.0670076706758886
Mean Blood Pressure slope,0.056435164101037785,0.020320017286362867,16.07585899309512
Pulse Pressure kurtosis,0.036969928593514494,12.231506954910337,1.0030270886627515
Heart Rate - Oxygen sat. min. cross-correlation,-0.016404665318550882,1852.8459152143316,0.9999911462725731
Oxygen Saturation max,-0.024797712883257515,0.8633921823408757,0.9716872731085265
Pulse Pressure slope,-0.026959340469644235,0.010447075923150365,0.07573133435783709
Pulse Pressure skewness,-0.047496777713753026,1.4012794982672891,0.9666727177424276
Oxygen Saturation kurtosis,-0.08336427664421428,50.96164929705991,0.9983655134728727
Diastolic Bood Pressure min,-0.09128054201818865,5.692501160115449,0.9840926538988035
Mean Blood Pressure min,-0.10069324715889538,7.728520034030986,0.9870557194962181
Breathing Rate slope,-0.13672774134655916,0.025467298908941335,0.004659919615840641
Systolic Blood Pressure slope,-0.15056820786166372,0.02255726676893362,0.001262159188953672
Bradycardia count,-0.15807330393172392,71.15131367652936,0.9977808162074498
Oxygen Saturation variability,-0.18110787456508667,5.048158513284613,0.964759889589614
Systolic Blood Pressure kurtosis,-0.1972501589023784,16.853329034628334,0.9883642959942637
Pulse Pressure min,-0.20091020678272475,5.517071164606929,0.9642389916316149
Mean Blood Pressure kurtosis,-0.2715283741015185,33.829470241649226,0.9920057397870202
Diastolic Bood Pressure slope,-0.28700883114063697,0.0173848077228844,6.763265618825836e-08
Heart Rate skewness,-0.32423382303699455,0.9193553687951352,0.7028054393801869
Heart Rate - Oxygen sat. max. cross-correlation,-0.41924906223179004,660566.6780145399,0.9999993653192885
Oxygen Saturation min,-0.6374890563964771,10.112726428875296,0.9389075152608615
Mean Blood Pressure max,-0.6971586651236901,34.38040088261073,0.9799264184297005
Systolic Blood Pressure skewness,-0.7325351724416507,1.510104228321023,0.6156423114716049
Breathing Rate max,-0.7957741595500677,18.296463906571056,0.9574389392963137
Pulse Pressure variability,-0.8200422717879507,7.050367039209105,0.890197440798412
First window timestamp,-1.1588627388592223,2026.620617990404,0.9994283431930374
Mean Blood Pressure variability,-1.3924540119306794,82.16590991072898,0.9831959321942083
Pulse Pressure mean,-1.5773800635781359,4.632662493196913,0.7114209018892204
Diastolic Bood Pressure max,-2.2509335035801787,17.870984647260343,0.8816548344892592
Diastolic Bood Pressure variability,-2.4348887477564913,19.23959265348269,0.8811246741964942
Tachycardia count,-4.055495581017965,9.032558350246154,0.6382747986360076
Heart Rate max,-4.633884910267931,23.406232930212596,0.8203891027344654
Systolic Blood Pressure mean,-5.080156153162602,7.839572572892792,0.5230833648953108
Intercept,-5.130310073952372,-,-
Diastolic Bood Pressure mean,-5.716986752004594,5.168381469884452,0.3308313871485128
