Feature,Coefficient,Train set stdev,Odds ratio
Heart Rate min,2.91141334553005,18.957088776092924,1.1660000579105023
First window timestamp Diastolic Bood Pressure variability,0.8816440999078209,98113.55862189735,1.0000089859961612
Oxygen Saturation mean Oxygen Saturation skewness,0.871137537859042,340.7745703960975,1.002559615732218
Breathing Rate variability Pulse Pressure min,0.8503314841640468,920.1120374928399,1.0009245879763369
Gestational age Diastolic Bood Pressure min,0.7627646525395657,238.41586115751198,1.003204426537844
Oxygen Saturation mean Ventilation status,0.6975502190327029,58.466356898254844,1.0120022525661165
Oxygen Saturation variability Oxygen Saturation max,0.6391720800456865,504.20319338390556,1.001268491344188
Oxygen Saturation mean Breathing Rate mean,0.6008313262282353,1217.4091651432216,1.0004936545845113
Gestational age Breathing Rate kurtosis,0.5977838858131806,1344.5961834404015,1.0004446813065426
Oxygen Saturation drops,0.5862289261204663,2.9211176418046265,1.2222415601615815
Pulse Pressure min Heart Rate - Oxygen sat. min. cross-correlation,0.5723149993880358,68715.9057054031,1.000008328746843
Oxygen Saturation skewness Breathing Rate min,0.5205789103335835,73.66857406776522,1.0070915256926907
Breathing Rate variability Hypothermia status,0.505936965549944,73.83021107950665,1.0068762427214222
Heart Rate max Diastolic Bood Pressure skewness,0.4999417488561972,268.29454501715355,1.0018651435331556
Heart Rate slope Breathing Rate mean,0.4855151501825877,1.6782169860113887,1.3354978676114073
Pulse Pressure mean Hypothermia status,0.4608631006714558,22.632287242325177,1.0205718231086405
Heart Rate variability Mean Blood Pressure max,0.44790752540542283,6841.662983415857,1.000065469782498
Breathing Rate mean Pulse Pressure variability,0.42590956580779715,297.1038321967514,1.00143456577894
Heart Rate - Oxygen sat. min. cross-correlation,0.4249372066092898,1852.8459152143316,1.0002293692826953
Oxygen Saturation slope Diastolic Bood Pressure variability,0.4249108415463987,0.19943458744427267,8.419727666070763
Breathing Rate max Bradycardia count,0.40740302897389735,2940.2969931269704,1.0001385680615933
Pulse Pressure skewness,0.4009023304469099,1.4012794982672891,1.3312220238244594
Heart Rate skewness Mean Blood Pressure skewness,0.39924579695112694,4.418300231840851,1.0945702858161024
Heart Rate - Oxygen sat. max. cross-correlation Oxygen Saturation drops,0.39241662676811423,11885134.03528556,1.0000000330174343
Heart Rate min Breathing Rate variability,0.3658155625178786,6861.965124612345,1.0000533120333568
Oxygen Saturation mean Breathing Rate variability,0.36266682542914214,5322.409125102455,1.000068141920918
Oxygen Saturation slope Mean Blood Pressure skewness,0.36249842123052456,0.027796702682676415,460956.213498484
Diastolic Bood Pressure variability Oxygen Saturation drops,0.35576085200588436,92.27770017847287,1.0038627698887534
Oxygen Saturation skewness Mean Blood Pressure max,0.34909091695065453,375.32472237732486,1.0009305363911587
First window timestamp Breathing Rate min,0.33466013773589204,62929.97441874032,1.0000053179908412
Oxygen Saturation skewness Heart Rate - Oxygen sat. min. cross-correlation,0.3277724172358662,36083.25428852104,1.0000090838232973
Oxygen Saturation max Systolic Blood Pressure skewness,0.3223221516751307,150.2974961326189,1.0021468622361596
Breathing Rate slope Mean Blood Pressure max,0.3109858241651052,2.3418261624677945,1.1420173332898746
Oxygen Saturation variability Systolic Blood Pressure min,0.30990636183943215,236.73739462981536,1.0013099294928907
Mean Blood Pressure variability Pulse Pressure max,0.3071521822331789,2196.263423858847,1.000139861939076
Oxygen Saturation variability Heart Rate - Oxygen sat. max. cross-correlation,0.2992155413381707,20115863.708922554,1.0000000148746058
Systolic Blood Pressure min Mean Blood Pressure min,0.2946215311655189,635.4784959481647,1.0004637290483425
Breathing Rate mean Mean Blood Pressure skewness,0.273587183676147,128.65735785709091,1.0021287416689753
Breathing Rate kurtosis,0.2706703803946962,34.45083592758861,1.0078876594182906
Oxygen Saturation min Heart Rate - Oxygen sat. min. cross-correlation,0.26831432482277817,192125.91900789706,1.0000013965555172
Pulse Pressure kurtosis Ventilation status,0.26594883956243387,17.868584287621598,1.0149949111080045
Mean Blood Pressure max Pulse Pressure kurtosis,0.2553658451203717,1108.1633670249018,1.0002304671660436
Mean Blood Pressure min Hypothermia status,0.25367452388457534,37.86499657913648,1.0067219381255572
Diastolic Bood Pressure min Pulse Pressure min,0.25076465949792476,199.6321718519457,1.0012569227699213
Oxygen Saturation kurtosis Ventilation status,0.24686375783292727,53.898525925548256,1.0045906628275418
Breathing Rate variability Heart Rate - Oxygen sat. min. cross-correlation,0.24119445349277058,710957.5904221367,1.0000003392529986
Heart Rate slope Pulse Pressure kurtosis,0.23950147442627365,0.36319937429543026,1.933673371298035
Systolic Blood Pressure variability Bradycardia count,0.23737489071717527,2969.2711185202675,1.0000799470206063
Systolic Blood Pressure skewness Diastolic Bood Pressure skewness,0.2355457847832712,15.611989181127793,1.0152018842630506
Oxygen Saturation mean Hypothermia status,0.2303019906979151,94.21243958192235,1.0024474868440416
Diastolic Bood Pressure skewness,0.22168189773746663,1.9811973485576817,1.118393063570101
Heart Rate slope Breathing Rate slope,0.2208100366776931,0.0014206994902370386,3.159024233814517e+67
Gestational age Heart Rate slope,0.20936582041596957,1.5788466383813131,1.141800968390048
Mean Blood Pressure variability Mean Blood Pressure slope,0.20593479178918978,7.614813024690671,1.027412979384803
Breathing Rate kurtosis Mean Blood Pressure min,0.20569780428068532,1282.9364774556948,1.0001603464387443
Heart Rate variability Heart Rate skewness,0.19582044893288997,80.40958200219885,1.0024382552087667
Oxygen Saturation max Diastolic Bood Pressure min,0.19045440588172627,568.173449529794,1.0003352608788945
Oxygen Saturation max Diastolic Bood Pressure skewness,0.1856106980740957,197.25559653899032,1.0009414082812087
Oxygen Saturation max Mean Blood Pressure mean,0.1839054324147732,598.4390651491927,1.0003073557591335
Diastolic Bood Pressure skewness Ventilation status,0.1813263678440053,2.280502423945019,1.0827581058301445
Diastolic Bood Pressure min Ventilation status,0.17752807403963397,19.68042139397607,1.009061350021082
First window timestamp Pulse Pressure slope,0.16934573876739595,39.2863428925957,1.0043198536155664
Breathing Rate slope Systolic Blood Pressure variability,0.16465267540250944,1.1186189072597528,1.1585773424542165
Breathing Rate max Diastolic Bood Pressure min,0.1611508791968421,678.551912680874,1.0002375205400638
Mean Blood Pressure skewness Ventilation status,0.15551383548298503,3.45374584353127,1.0460567152714273
Heart Rate slope Oxygen Saturation variability,0.1553791566685567,0.3038135983804016,1.6676729916326376
Pulse Pressure slope Heart Rate - Oxygen sat. min. cross-correlation,0.15446496953877142,111.63502656834615,1.0013846181357995
Oxygen Saturation min Mean Blood Pressure min,0.15295858528139808,788.2682683078283,1.0001940626468495
