Feature,Coefficient
Monitor Ademhalingsfrequentie_min Monitor Ademhalingsfrequentie_skewness,0.3667827139447573
Monitor Hartfrequentie_skewness Pulse_pressure_var,0.18159327699738068
first_window_timestamp Monitor O2 Saturatie_mean,0.13355800667520515
Monitor O2 Saturatie_min Monitor Arteriele Bloeddruk Systole_max,0.12887774386356082
Monitor Hartfrequentie_var Monitor Hartfrequentie_kurtosis,0.09519990067363415
Monitor Hartfrequentie_kurtosis Monitor Arteriele Bloeddruk Systole_mean,0.08087548294817583
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_min,0.0705169663010074
Monitor O2 Saturatie_var,0.025829457402707326
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_skewness,0.004753639456203672
Monitor O2 Saturatie_min Pulse_pressure_var,0.0
Monitor O2 Saturatie_min Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor O2 Saturatie_min Monitor Arteriele Bloeddruk Diastole_slope,0.0
Monitor O2 Saturatie_min Pulse_pressure_mean,0.0
Monitor O2 Saturatie_slope Monitor Ademhalingsfrequentie_min,0.0
Monitor O2 Saturatie_slope Monitor Ademhalingsfrequentie_var,0.0
Monitor O2 Saturatie_min Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor O2 Saturatie_slope Monitor Ademhalingsfrequentie_skewness,0.0
Monitor O2 Saturatie_slope Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor O2 Saturatie_slope Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor O2 Saturatie_slope Monitor Arteriele Bloeddruk Systole_max,0.0
Monitor O2 Saturatie_slope Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor O2 Saturatie_slope Monitor Arteriele Bloeddruk Diastole_slope,0.0
Monitor O2 Saturatie_min Monitor Arteriele Bloeddruk Systole_mean,0.0
first_window_timestamp,0.0
Monitor O2 Saturatie_min Monitor Ademhalingsfrequentie_skewness,0.0
Monitor O2 Saturatie_slope Pulse_pressure_var,0.0
Monitor O2 Saturatie_mean Monitor Arteriele Bloeddruk Systole_max,0.0
Monitor O2 Saturatie_mean Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor O2 Saturatie_mean Monitor Arteriele Bloeddruk Diastole_slope,0.0
Monitor O2 Saturatie_mean Pulse_pressure_mean,0.0
Monitor O2 Saturatie_mean Pulse_pressure_var,0.0
Monitor O2 Saturatie_var Monitor O2 Saturatie_slope,0.0
Monitor O2 Saturatie_var Monitor Ademhalingsfrequentie_min,0.0
Monitor O2 Saturatie_var Monitor Ademhalingsfrequentie_skewness,0.0
Monitor O2 Saturatie_var Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor O2 Saturatie_var Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor O2 Saturatie_var Monitor Arteriele Bloeddruk Systole_max,0.0
Monitor O2 Saturatie_var Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
