Feature,Coefficient
Monitor O2 Saturatie_var,0.0018044708167862043
Monitor O2 Saturatie_slope,0.0007678830450111625
Monitor Ademhalingsfrequentie_kurtosis,0.0001651039784226555
Monitor Ademhalingsfrequentie_var,-8.833554454324952e-05
Monitor Arteriele Bloeddruk Diastole_slope,-0.0005749650585927918
Monitor Arteriele Bloeddruk Systole_kurtosis,-0.0007211281418068106
Pulse_pressure_var,-0.0007413179733425123
Monitor Ademhalingsfrequentie_skewness,-0.0009171565711170778
first_window_timestamp,-0.0011179509959804892
Monitor Hartfrequentie_var,-0.0011385436389462194
Monitor Ademhalingsfrequentie_min,-0.0013022166615230572
Monitor O2 Saturatie_mean,-0.0014490374157522141
Monitor Arteriele Bloeddruk Systole_max,-0.0016109353100332486
Monitor Hartfrequentie_kurtosis,-0.0016183334866119198
Monitor O2 Saturatie_min,-0.0017213837029077972
Monitor Arteriele Bloeddruk Systole_mean,-0.0019843652542503045
Monitor Hartfrequentie_skewness,-0.0020613579807297463
Pulse_pressure_mean,-0.0034168902885694653
intercept,-0.017161658994080575
