Feature,Coefficient
Monitor Arteriele Bloeddruk Mean_mean,10.731141571611536
Monitor Hartfrequentie_mean,2.8472455392244767
Monitor Hartfrequentie_min,2.3636795592906363
Monitor Arteriele Bloeddruk Systole_var,1.9580176242519332
Monitor Arteriele Bloeddruk Systole_max,1.7178553838502335
Monitor Hartfrequentie_var,1.304550217072518
Monitor Arteriele Bloeddruk Diastole_skewness,1.1975879421288547
Pulse_pressure_max,0.4998209294764032
Monitor Ademhalingsfrequentie_var,0.4563792265781844
Monitor Arteriele Bloeddruk Diastole_kurtosis,0.43590275072979195
Monitor Hartfrequentie_kurtosis,0.40326147196177514
Monitor Hartfrequentie_slope,0.35473805509952105
gestational_age,0.34633269296010605
Monitor Ademhalingsfrequentie_kurtosis,0.34137232579256566
Monitor Ademhalingsfrequentie_min,0.29066800466003223
Monitor Ademhalingsfrequentie_skewness,0.25127889477962423
Monitor Arteriele Bloeddruk Systole_min,0.24154635048819972
o2_drop_count,0.2339208046522215
ventilation_status,0.14273470357335777
Monitor Ademhalingsfrequentie_mean,0.1389358615540953
Monitor Arteriele Bloeddruk Mean_skewness,0.10938992609998213
Monitor O2 Saturatie_slope,0.10611698053226502
Monitor O2 Saturatie_mean,0.09297402242011074
Monitor O2 Saturatie_skewness,0.08195007516015387
hypothermia_status,0.06330053075059268
Monitor Arteriele Bloeddruk Mean_slope,0.056435164101037785
Pulse_pressure_kurtosis,0.036969928593514494
hr_spo2_min_cross_cor,-0.016404665318550882
Monitor O2 Saturatie_max,-0.024797712883257515
Pulse_pressure_slope,-0.026959340469644235
Pulse_pressure_skewness,-0.047496777713753026
Monitor O2 Saturatie_kurtosis,-0.08336427664421428
Monitor Arteriele Bloeddruk Diastole_min,-0.09128054201818865
Monitor Arteriele Bloeddruk Mean_min,-0.10069324715889538
Monitor Ademhalingsfrequentie_slope,-0.13672774134655916
Monitor Arteriele Bloeddruk Systole_slope,-0.15056820786166372
bradycardia_count,-0.15807330393172392
Monitor O2 Saturatie_var,-0.18110787456508667
Monitor Arteriele Bloeddruk Systole_kurtosis,-0.1972501589023784
Pulse_pressure_min,-0.20091020678272475
Monitor Arteriele Bloeddruk Mean_kurtosis,-0.2715283741015185
Monitor Arteriele Bloeddruk Diastole_slope,-0.28700883114063697
Monitor Hartfrequentie_skewness,-0.32423382303699455
hr_spo2_max_cross_cor,-0.41924906223179004
Monitor O2 Saturatie_min,-0.6374890563964771
Monitor Arteriele Bloeddruk Mean_max,-0.6971586651236901
Monitor Arteriele Bloeddruk Systole_skewness,-0.7325351724416507
Monitor Ademhalingsfrequentie_max,-0.7957741595500677
Pulse_pressure_var,-0.8200422717879507
first_window_timestamp,-1.1588627388592223
Monitor Arteriele Bloeddruk Mean_var,-1.3924540119306794
Pulse_pressure_mean,-1.5773800635781359
Monitor Arteriele Bloeddruk Diastole_max,-2.2509335035801787
Monitor Arteriele Bloeddruk Diastole_var,-2.4348887477564913
tachycardia_count,-4.055495581017965
Monitor Hartfrequentie_max,-4.633884910267931
Monitor Arteriele Bloeddruk Systole_mean,-5.080156153162602
intercept,-5.130310073952372
Monitor Arteriele Bloeddruk Diastole_mean,-5.716986752004594
