Feature,Coefficient
Monitor Hartfrequentie_min,2.91141334553005
first_window_timestamp Monitor Arteriele Bloeddruk Diastole_var,0.8816440999078209
Monitor O2 Saturatie_mean Monitor O2 Saturatie_skewness,0.871137537859042
Monitor Ademhalingsfrequentie_var Pulse_pressure_min,0.8503314841640468
gestational_age Monitor Arteriele Bloeddruk Diastole_min,0.7627646525395657
Monitor O2 Saturatie_mean ventilation_status,0.6975502190327029
Monitor O2 Saturatie_var Monitor O2 Saturatie_max,0.6391720800456865
Monitor O2 Saturatie_mean Monitor Ademhalingsfrequentie_mean,0.6008313262282353
gestational_age Monitor Ademhalingsfrequentie_kurtosis,0.5977838858131806
o2_drop_count,0.5862289261204663
Pulse_pressure_min hr_spo2_min_cross_cor,0.5723149993880358
Monitor O2 Saturatie_skewness Monitor Ademhalingsfrequentie_min,0.5205789103335835
Monitor Ademhalingsfrequentie_var hypothermia_status,0.505936965549944
Monitor Hartfrequentie_max Monitor Arteriele Bloeddruk Diastole_skewness,0.4999417488561972
Monitor Hartfrequentie_slope Monitor Ademhalingsfrequentie_mean,0.4855151501825877
Pulse_pressure_mean hypothermia_status,0.4608631006714558
Monitor Hartfrequentie_var Monitor Arteriele Bloeddruk Mean_max,0.44790752540542283
Monitor Ademhalingsfrequentie_mean Pulse_pressure_var,0.42590956580779715
hr_spo2_min_cross_cor,0.4249372066092898
Monitor O2 Saturatie_slope Monitor Arteriele Bloeddruk Diastole_var,0.4249108415463987
Monitor Ademhalingsfrequentie_max bradycardia_count,0.40740302897389735
Pulse_pressure_skewness,0.4009023304469099
Monitor Hartfrequentie_skewness Monitor Arteriele Bloeddruk Mean_skewness,0.39924579695112694
hr_spo2_max_cross_cor o2_drop_count,0.39241662676811423
Monitor Hartfrequentie_min Monitor Ademhalingsfrequentie_var,0.3658155625178786
Monitor O2 Saturatie_mean Monitor Ademhalingsfrequentie_var,0.36266682542914214
Monitor O2 Saturatie_slope Monitor Arteriele Bloeddruk Mean_skewness,0.36249842123052456
Monitor Arteriele Bloeddruk Diastole_var o2_drop_count,0.35576085200588436
Monitor O2 Saturatie_skewness Monitor Arteriele Bloeddruk Mean_max,0.34909091695065453
first_window_timestamp Monitor Ademhalingsfrequentie_min,0.33466013773589204
Monitor O2 Saturatie_skewness hr_spo2_min_cross_cor,0.3277724172358662
Monitor O2 Saturatie_max Monitor Arteriele Bloeddruk Systole_skewness,0.3223221516751307
Monitor Ademhalingsfrequentie_slope Monitor Arteriele Bloeddruk Mean_max,0.3109858241651052
Monitor O2 Saturatie_var Monitor Arteriele Bloeddruk Systole_min,0.30990636183943215
Monitor Arteriele Bloeddruk Mean_var Pulse_pressure_max,0.3071521822331789
Monitor O2 Saturatie_var hr_spo2_max_cross_cor,0.2992155413381707
Monitor Arteriele Bloeddruk Systole_min Monitor Arteriele Bloeddruk Mean_min,0.2946215311655189
Monitor Ademhalingsfrequentie_mean Monitor Arteriele Bloeddruk Mean_skewness,0.273587183676147
Monitor Ademhalingsfrequentie_kurtosis,0.2706703803946962
Monitor O2 Saturatie_min hr_spo2_min_cross_cor,0.26831432482277817
Pulse_pressure_kurtosis ventilation_status,0.26594883956243387
Monitor Arteriele Bloeddruk Mean_max Pulse_pressure_kurtosis,0.2553658451203717
Monitor Arteriele Bloeddruk Mean_min hypothermia_status,0.25367452388457534
Monitor Arteriele Bloeddruk Diastole_min Pulse_pressure_min,0.25076465949792476
Monitor O2 Saturatie_kurtosis ventilation_status,0.24686375783292727
Monitor Ademhalingsfrequentie_var hr_spo2_min_cross_cor,0.24119445349277058
Monitor Hartfrequentie_slope Pulse_pressure_kurtosis,0.23950147442627365
Monitor Arteriele Bloeddruk Systole_var bradycardia_count,0.23737489071717527
Monitor Arteriele Bloeddruk Systole_skewness Monitor Arteriele Bloeddruk Diastole_skewness,0.2355457847832712
Monitor O2 Saturatie_mean hypothermia_status,0.2303019906979151
Monitor Arteriele Bloeddruk Diastole_skewness,0.22168189773746663
Monitor Hartfrequentie_slope Monitor Ademhalingsfrequentie_slope,0.2208100366776931
gestational_age Monitor Hartfrequentie_slope,0.20936582041596957
Monitor Arteriele Bloeddruk Mean_var Monitor Arteriele Bloeddruk Mean_slope,0.20593479178918978
Monitor Ademhalingsfrequentie_kurtosis Monitor Arteriele Bloeddruk Mean_min,0.20569780428068532
Monitor Hartfrequentie_var Monitor Hartfrequentie_skewness,0.19582044893288997
Monitor O2 Saturatie_max Monitor Arteriele Bloeddruk Diastole_min,0.19045440588172627
Monitor O2 Saturatie_max Monitor Arteriele Bloeddruk Diastole_skewness,0.1856106980740957
Monitor O2 Saturatie_max Monitor Arteriele Bloeddruk Mean_mean,0.1839054324147732
Monitor Arteriele Bloeddruk Diastole_skewness ventilation_status,0.1813263678440053
Monitor Arteriele Bloeddruk Diastole_min ventilation_status,0.17752807403963397
first_window_timestamp Pulse_pressure_slope,0.16934573876739595
Monitor Ademhalingsfrequentie_slope Monitor Arteriele Bloeddruk Systole_var,0.16465267540250944
Monitor Ademhalingsfrequentie_max Monitor Arteriele Bloeddruk Diastole_min,0.1611508791968421
Monitor Arteriele Bloeddruk Mean_skewness ventilation_status,0.15551383548298503
Monitor Hartfrequentie_slope Monitor O2 Saturatie_var,0.1553791566685567
Pulse_pressure_slope hr_spo2_min_cross_cor,0.15446496953877142
Monitor O2 Saturatie_min Monitor Arteriele Bloeddruk Mean_min,0.15295858528139808
gestational_age Monitor Ademhalingsfrequentie_min,0.1479572254280912
Monitor Arteriele Bloeddruk Diastole_skewness Pulse_pressure_skewness,0.1470742588465369
Pulse_pressure_var Pulse_pressure_min,0.13992045870658168
first_window_timestamp Monitor Ademhalingsfrequentie_skewness,0.13796644322607046
first_window_timestamp Monitor Ademhalingsfrequentie_max,0.13549743003524728
first_window_timestamp Monitor Hartfrequentie_slope,0.13306516072835065
Monitor Hartfrequentie_slope Monitor O2 Saturatie_max,0.12646899185410282
Monitor Hartfrequentie_max Monitor O2 Saturatie_slope,0.12441435934559567
Pulse_pressure_min hypothermia_status,0.12296471836089601
Monitor O2 Saturatie_mean Monitor O2 Saturatie_var,0.12044878976146653
Monitor O2 Saturatie_slope o2_drop_count,0.11596512310071427
Monitor O2 Saturatie_slope Monitor Ademhalingsfrequentie_slope,0.11414428610047098
Monitor Ademhalingsfrequentie_var Monitor Arteriele Bloeddruk Mean_skewness,0.11276997485440195
Monitor Ademhalingsfrequentie_mean Monitor Arteriele Bloeddruk Mean_kurtosis,0.10673472100738003
Pulse_pressure_slope hypothermia_status,0.08952238911792956
Monitor O2 Saturatie_min Monitor Arteriele Bloeddruk Systole_kurtosis,0.08672664148571405
Monitor Arteriele Bloeddruk Mean_skewness Pulse_pressure_slope,0.08664398385865761
Monitor Arteriele Bloeddruk Mean_max Pulse_pressure_skewness,0.0811762301855919
Monitor Ademhalingsfrequentie_slope ventilation_status,0.08085287125634565
Monitor Hartfrequentie_skewness Monitor Arteriele Bloeddruk Mean_max,0.08082945080020312
Monitor O2 Saturatie_mean Pulse_pressure_mean,0.07578999152682145
Monitor Hartfrequentie_skewness Monitor Hartfrequentie_kurtosis,0.07400123475133748
Monitor Hartfrequentie_max Pulse_pressure_min,0.07352838867123546
Monitor O2 Saturatie_slope bradycardia_count,0.07026776901739636
Monitor Arteriele Bloeddruk Systole_skewness Pulse_pressure_max,0.06971300858091939
first_window_timestamp Monitor Hartfrequentie_skewness,0.06752401462333583
Monitor Arteriele Bloeddruk Diastole_slope Pulse_pressure_slope,0.06735966006099874
Monitor Arteriele Bloeddruk Systole_skewness ventilation_status,0.06530723142137371
Monitor Hartfrequentie_slope Pulse_pressure_slope,0.06425788605400574
Monitor Arteriele Bloeddruk Systole_var Monitor Arteriele Bloeddruk Systole_skewness,0.05978670011718605
Monitor Hartfrequentie_skewness Monitor Arteriele Bloeddruk Mean_min,0.05718837623644976
Monitor Hartfrequentie_max Monitor Arteriele Bloeddruk Mean_skewness,0.05585179002488436
Monitor Hartfrequentie_var Monitor O2 Saturatie_var,0.05560382458476078
Monitor Arteriele Bloeddruk Diastole_mean Pulse_pressure_slope,0.05083765570571819
Monitor Hartfrequentie_skewness Pulse_pressure_mean,0.04901713363248965
Monitor O2 Saturatie_slope Monitor Ademhalingsfrequentie_min,0.04889429053370466
Monitor Hartfrequentie_max Monitor Arteriele Bloeddruk Mean_var,0.04855519334390508
Monitor Ademhalingsfrequentie_max Monitor Arteriele Bloeddruk Diastole_mean,0.04655011803620293
Monitor Arteriele Bloeddruk Systole_skewness Monitor Arteriele Bloeddruk Mean_max,0.04499183562949816
Monitor Arteriele Bloeddruk Systole_var Pulse_pressure_var,0.044428112065802716
Monitor Hartfrequentie_mean Monitor O2 Saturatie_skewness,0.04155508115554704
Monitor Ademhalingsfrequentie_var Monitor Arteriele Bloeddruk Systole_min,0.040314188649629074
first_window_timestamp Monitor Arteriele Bloeddruk Diastole_mean,0.03861757316800041
Monitor O2 Saturatie_min ventilation_status,0.03657822905290481
