Model names,Outer 1,Outer 2,Outer 3,Outer 4,Outer 5
random - benchmark,0.010,0.123,0.197,0.004,0.000
random - logistic_regression,0.164,0.019,0.732,0.969,0.031
random - logistic_regression_with_interaction,0.001,0.211,0.937,0.034,0.018
random - decision_tree,0.048,0.041,0.484,0.777,0.004
random - xgboost,0.000,0.004,0.740,0.709,0.000
random - lstm,0.000,0.051,0.429,0.158,0.000
benchmark - logistic_regression,0.418,0.422,0.150,0.033,0.062
benchmark - logistic_regression_with_interaction,0.001,0.670,0.039,0.607,0.306
benchmark - decision_tree,0.914,0.108,0.235,0.002,0.206
benchmark - xgboost,0.002,0.001,0.017,0.000,0.000
benchmark - lstm,0.000,0.099,0.000,0.100,0.033
logistic_regression - logistic_regression_with_interaction,0.013,0.122,0.312,0.055,0.579
logistic_regression - decision_tree,0.426,0.488,0.572,0.728,0.379
logistic_regression - xgboost,0.004,0.056,0.088,0.702,0.000
logistic_regression - lstm,0.004,0.466,0.052,0.149,0.002
logistic_regression_with_interaction - decision_tree,0.028,0.251,0.149,0.009,0.887
logistic_regression_with_interaction - xgboost,0.783,0.059,0.505,0.000,0.000
logistic_regression_with_interaction - lstm,0.644,0.237,0.246,0.226,0.021
decision_tree - xgboost,0.019,0.379,0.068,0.300,0.000
decision_tree - lstm,0.013,0.942,0.002,0.065,0.003
xgboost - lstm,0.872,0.251,0.459,0.002,0.054
