Feature,Coefficient
hr_spo2_max_cross_cor,0.4924692991583962
hr_spo2_min_cross_cor,0.34857498058672487
Monitor Arteriele Bloeddruk Diastole_mean,0.1868900682618354
Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_kurtosis,-0.12539816032219225
Pulse_pressure_var,-0.2305564492346091
apgar10,-0.2323640962504891
Monitor Hartfrequentie_skewness,-0.33240348779225476
Monitor Ademhalingsfrequentie_min,-0.3397732931919217
first_window_timestamp,-0.418013528691922
Pulse_pressure_mean,-0.5437520166537801
Monitor Ademhalingsfrequentie_skewness,-0.5662439722166024
intercept,-3.112630196940715
