Feature,Coefficient
hr_spo2_max_cross_cor,0.10552064449241091
hr_spo2_min_cross_cor,0.08124383127588873
Monitor Ademhalingsfrequentie_kurtosis,0.04336731576129303
Monitor Arteriele Bloeddruk Diastole_mean,0.04185962794844747
Monitor Hartfrequentie_kurtosis,-0.0023925538104963597
apgar10,-0.024827020369356377
Pulse_pressure_var,-0.029321760095127596
Monitor Ademhalingsfrequentie_min,-0.07305821713150995
first_window_timestamp,-0.08251548099947724
Monitor Hartfrequentie_skewness,-0.10954115939648987
Pulse_pressure_mean,-0.12373333452181272
Monitor Ademhalingsfrequentie_skewness,-0.13146990397707037
intercept,-1.117754740550322
