Feature,Coefficient
Monitor Ademhalingsfrequentie_kurtosis,0.2583762674761741
Monitor Ademhalingsfrequentie_var,0.006293217671931819
Monitor Arteriele Bloeddruk Mean_mean,0.0
Pulse_pressure_var,0.0
Monitor Ademhalingsfrequentie_mean,0.0
Monitor Ademhalingsfrequentie_skewness,0.0
first_window_timestamp,0.0
Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Pulse_pressure_max,-0.030622672269927043
Monitor Ademhalingsfrequentie_min,-0.10227149359378411
Monitor Hartfrequentie_kurtosis,-0.1057635489067852
apgar10,-0.207460791085024
Monitor Hartfrequentie_var,-0.25825705499410073
Monitor Hartfrequentie_skewness,-0.40199788445552154
Pulse_pressure_mean,-0.6955798236654918
intercept,-2.5126914451508515
