Feature,Coefficient
Monitor Ademhalingsfrequentie_kurtosis,0.005703150453779685
Monitor Ademhalingsfrequentie_mean,0.0007443866922928797
Monitor Ademhalingsfrequentie_var,0.0003701719001084767
Monitor Arteriele Bloeddruk Systole_kurtosis,-0.00038635750995575567
Monitor Arteriele Bloeddruk Diastole_kurtosis,-0.0004239438684349563
Monitor Ademhalingsfrequentie_min,-0.0008167703807856816
first_window_timestamp,-0.0015792385827652709
Pulse_pressure_var,-0.0017183904357853466
Monitor Hartfrequentie_kurtosis,-0.0020886773623432263
Monitor Hartfrequentie_var,-0.0024965219979398235
apgar10,-0.0028820418268673442
Monitor Arteriele Bloeddruk Mean_mean,-0.0030419290625456836
Monitor Ademhalingsfrequentie_skewness,-0.0030952899408368596
Pulse_pressure_max,-0.004379974490441771
Monitor Hartfrequentie_skewness,-0.004411645673275048
Monitor Arteriele Bloeddruk Systole_mean,-0.00459857603333916
Pulse_pressure_mean,-0.00631159097041308
intercept,-0.04033275970128507
