Feature,Coefficient
apgar10 first_window_timestamp,0.47337835348877916
apgar10 Monitor Arteriele Bloeddruk Mean_mean,0.3165557773848143
Monitor Ademhalingsfrequentie_min Monitor Ademhalingsfrequentie_kurtosis,0.2015379436451162
Pulse_pressure_mean Pulse_pressure_var,0.17063005005525145
Monitor Ademhalingsfrequentie_min Monitor Ademhalingsfrequentie_skewness,0.0953597042646602
Monitor Ademhalingsfrequentie_skewness Pulse_pressure_mean,0.05797869307149522
Monitor Hartfrequentie_skewness Pulse_pressure_max,0.02690346817168248
first_window_timestamp Monitor Ademhalingsfrequentie_skewness,0.010598626243327402
Monitor Hartfrequentie_skewness Monitor Hartfrequentie_kurtosis,0.008219069233726858
Monitor Hartfrequentie_kurtosis Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Ademhalingsfrequentie_var Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Ademhalingsfrequentie_min Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Ademhalingsfrequentie_min Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Ademhalingsfrequentie_min Monitor Arteriele Bloeddruk Systole_mean,0.0
first_window_timestamp,0.0
Monitor Hartfrequentie_kurtosis Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Ademhalingsfrequentie_var Pulse_pressure_max,0.0
Monitor Ademhalingsfrequentie_var Pulse_pressure_mean,0.0
Monitor Hartfrequentie_kurtosis Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Ademhalingsfrequentie_var Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Hartfrequentie_kurtosis Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor Ademhalingsfrequentie_var Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Ademhalingsfrequentie_var Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Ademhalingsfrequentie_var Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor Ademhalingsfrequentie_var Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Hartfrequentie_kurtosis Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Ademhalingsfrequentie_mean Pulse_pressure_max,0.0
Monitor Ademhalingsfrequentie_mean Pulse_pressure_var,0.0
Monitor Ademhalingsfrequentie_mean Pulse_pressure_mean,0.0
Monitor Ademhalingsfrequentie_min Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Ademhalingsfrequentie_mean Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Ademhalingsfrequentie_mean Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Hartfrequentie_kurtosis Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Ademhalingsfrequentie_mean Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor Ademhalingsfrequentie_mean Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Ademhalingsfrequentie_mean Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Hartfrequentie_kurtosis Pulse_pressure_max,0.0
Monitor Hartfrequentie_kurtosis Pulse_pressure_var,0.0
Monitor Hartfrequentie_kurtosis Pulse_pressure_mean,0.0
Monitor Ademhalingsfrequentie_mean Monitor Arteriele Bloeddruk Mean_mean,0.0
apgar10,0.0
Monitor Ademhalingsfrequentie_min Pulse_pressure_mean,0.0
Monitor Arteriele Bloeddruk Diastole_kurtosis Pulse_pressure_mean,0.0
Monitor Arteriele Bloeddruk Systole_mean Pulse_pressure_max,0.0
Monitor Arteriele Bloeddruk Systole_kurtosis Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Arteriele Bloeddruk Systole_kurtosis Pulse_pressure_mean,0.0
Monitor Arteriele Bloeddruk Systole_kurtosis Pulse_pressure_var,0.0
Monitor Arteriele Bloeddruk Systole_kurtosis Pulse_pressure_max,0.0
Monitor Arteriele Bloeddruk Diastole_kurtosis Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Arteriele Bloeddruk Diastole_kurtosis Pulse_pressure_var,0.0
Monitor Hartfrequentie_kurtosis Monitor Ademhalingsfrequentie_var,0.0
Monitor Arteriele Bloeddruk Diastole_kurtosis Pulse_pressure_max,0.0
Monitor Arteriele Bloeddruk Mean_mean Pulse_pressure_mean,0.0
Monitor Arteriele Bloeddruk Mean_mean Pulse_pressure_var,0.0
Monitor Arteriele Bloeddruk Mean_mean Pulse_pressure_max,0.0
Pulse_pressure_mean Pulse_pressure_max,0.0
Pulse_pressure_var Pulse_pressure_max,0.0
Monitor Arteriele Bloeddruk Systole_mean Pulse_pressure_var,0.0
Monitor Arteriele Bloeddruk Systole_mean Pulse_pressure_mean,0.0
Monitor Arteriele Bloeddruk Systole_mean Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Arteriele Bloeddruk Systole_mean Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Ademhalingsfrequentie_kurtosis Pulse_pressure_max,0.0
Monitor Ademhalingsfrequentie_kurtosis Pulse_pressure_var,0.0
Monitor Ademhalingsfrequentie_kurtosis Pulse_pressure_mean,0.0
Monitor Ademhalingsfrequentie_kurtosis Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Ademhalingsfrequentie_kurtosis Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
