Feature,Coefficient
APGAR 10-minute First window timestamp,0.47337835348877916
APGAR 10-minute Mean Blood Pressure mean,0.3165557773848143
Breathing Rate min Breathing Rate kurtosis,0.2015379436451162
Pulse Pressure mean Pulse Pressure variability,0.17063005005525145
Breathing Rate min Breathing Rate skewness,0.0953597042646602
Breathing Rate skewness Pulse Pressure mean,0.05797869307149522
Heart Rate skewness Pulse Pressure max,0.02690346817168248
First window timestamp Breathing Rate skewness,0.010598626243327402
Heart Rate skewness Heart Rate kurtosis,0.008219069233726858
Heart Rate kurtosis Diastolic Bood Pressure kurtosis,0.0
Breathing Rate variability Breathing Rate kurtosis,0.0
Breathing Rate min Diastolic Bood Pressure kurtosis,0.0
Breathing Rate min Systolic Blood Pressure kurtosis,0.0
Breathing Rate min Systolic Blood Pressure mean,0.0
First window timestamp,0.0
Heart Rate kurtosis Breathing Rate skewness,0.0
Breathing Rate variability Pulse Pressure max,0.0
Breathing Rate variability Pulse Pressure mean,0.0
Heart Rate kurtosis Breathing Rate kurtosis,0.0
Breathing Rate variability Mean Blood Pressure mean,0.0
Heart Rate kurtosis Systolic Blood Pressure mean,0.0
Breathing Rate variability Diastolic Bood Pressure kurtosis,0.0
Breathing Rate variability Systolic Blood Pressure kurtosis,0.0
Breathing Rate variability Systolic Blood Pressure mean,0.0
Breathing Rate variability Breathing Rate skewness,0.0
Heart Rate kurtosis Mean Blood Pressure mean,0.0
Breathing Rate mean Pulse Pressure max,0.0
Breathing Rate mean Pulse Pressure variability,0.0
Breathing Rate mean Pulse Pressure mean,0.0
Breathing Rate min Mean Blood Pressure mean,0.0
Breathing Rate mean Diastolic Bood Pressure kurtosis,0.0
Breathing Rate mean Systolic Blood Pressure kurtosis,0.0
Heart Rate kurtosis Systolic Blood Pressure kurtosis,0.0
Breathing Rate mean Systolic Blood Pressure mean,0.0
Breathing Rate mean Breathing Rate kurtosis,0.0
Breathing Rate mean Breathing Rate skewness,0.0
Heart Rate kurtosis Pulse Pressure max,0.0
Heart Rate kurtosis Pulse Pressure variability,0.0
Heart Rate kurtosis Pulse Pressure mean,0.0
Breathing Rate mean Mean Blood Pressure mean,0.0
APGAR 10-minute,0.0
Breathing Rate min Pulse Pressure mean,0.0
Diastolic Bood Pressure kurtosis Pulse Pressure mean,0.0
Systolic Blood Pressure mean Pulse Pressure max,0.0
Systolic Blood Pressure kurtosis Mean Blood Pressure mean,0.0
Systolic Blood Pressure kurtosis Pulse Pressure mean,0.0
Systolic Blood Pressure kurtosis Pulse Pressure variability,0.0
Systolic Blood Pressure kurtosis Pulse Pressure max,0.0
Diastolic Bood Pressure kurtosis Mean Blood Pressure mean,0.0
Diastolic Bood Pressure kurtosis Pulse Pressure variability,0.0
Heart Rate kurtosis Breathing Rate variability,0.0
Diastolic Bood Pressure kurtosis Pulse Pressure max,0.0
Mean Blood Pressure mean Pulse Pressure mean,0.0
Mean Blood Pressure mean Pulse Pressure variability,0.0
Mean Blood Pressure mean Pulse Pressure max,0.0
Pulse Pressure mean Pulse Pressure max,0.0
