scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,False,l2,100.0,1000,0.6960774145236142
True,False,l2,100.0,5000,0.6960774145236142
True,False,l2,1000.0,1000,0.6959946298022648
True,False,l2,1000.0,5000,0.6959946298022648
True,False,l2,10.0,1000,0.6957858823642057
True,False,l2,10.0,5000,0.6957858823642057
True,False,l2,1.0,1000,0.6896244807599728
True,False,l2,1.0,5000,0.6896244807599728
True,False,l2,0.1,1000,0.6728592679294816
True,False,l2,0.1,5000,0.6728592679294816
True,False,l2,0.01,1000,0.6497199297865932
True,False,l2,0.01,5000,0.6497199297865932
True,False,l2,0.0001,1000,0.646278514358381
True,False,l2,0.0001,5000,0.646278514358381
True,False,l2,0.001,1000,0.6453107006540973
True,False,l2,0.001,5000,0.6453107006540973
