criterion,max_depth,min_samples_split,min_samples_leaf,max_features,average_roc_auc
gini,10,20,5,sqrt,0.6665475277529612
gini,,20,5,sqrt,0.6647094534745046
gini,5,10,5,sqrt,0.662651419201131
gini,5,20,5,sqrt,0.6565877133194067
gini,10,10,5,sqrt,0.6459278504877461
gini,,20,10,sqrt,0.6419941866199915
gini,,10,10,sqrt,0.6419941866199915
gini,10,50,5,sqrt,0.638180649193074
gini,10,20,10,sqrt,0.6338491772037957
gini,10,10,10,sqrt,0.6338491772037957
gini,5,10,10,sqrt,0.6323795272791962
gini,5,20,10,sqrt,0.6323795272791962
gini,,50,5,sqrt,0.6316834740518311
gini,5,50,5,sqrt,0.6287183767671654
gini,,10,5,sqrt,0.6263854555982334
gini,10,50,10,sqrt,0.6164077077403374
entropy,5,20,20,sqrt,0.6142606261272355
entropy,5,10,20,sqrt,0.6142606261272355
entropy,5,10,5,sqrt,0.6130922752597555
gini,3,50,5,sqrt,0.6125519623418233
gini,3,10,5,sqrt,0.6118094629197232
gini,3,20,5,sqrt,0.6097948250152547
gini,,50,10,sqrt,0.6086864271377008
gini,5,50,10,sqrt,0.6065719639166832
entropy,5,50,10,sqrt,0.605728205826856
entropy,10,10,5,sqrt,0.6049645895001374
entropy,5,50,5,sqrt,0.6040216494653283
entropy,,10,20,sqrt,0.6038573904657195
entropy,10,10,20,sqrt,0.6038573904657195
entropy,10,20,20,sqrt,0.6038573904657195
entropy,,20,20,sqrt,0.6038573904657195
entropy,5,20,5,sqrt,0.6028533340912093
entropy,5,50,20,sqrt,0.601291704608962
entropy,10,20,5,sqrt,0.6012053562562221
entropy,,20,5,sqrt,0.6009863084554458
entropy,10,50,10,sqrt,0.5953688353511342
entropy,,50,10,sqrt,0.5953688353511342
entropy,5,10,10,sqrt,0.59448694820684
entropy,5,20,10,sqrt,0.59448694820684
entropy,,10,5,sqrt,0.5931259241016024
entropy,,10,10,sqrt,0.5903952462527408
entropy,,20,10,sqrt,0.5903952462527408
entropy,3,20,20,sqrt,0.5895948658126065
entropy,3,10,20,sqrt,0.5895948658126065
entropy,3,50,20,sqrt,0.5895948658126065
entropy,10,10,10,sqrt,0.5873820635785411
entropy,10,20,10,sqrt,0.5873820635785411
entropy,10,50,20,sqrt,0.585682294770157
entropy,,50,20,sqrt,0.585682294770157
gini,3,20,10,sqrt,0.580991583160917
gini,3,10,10,sqrt,0.580991583160917
entropy,3,20,10,sqrt,0.5755980243666908
entropy,3,10,10,sqrt,0.5755980243666908
entropy,10,50,5,sqrt,0.5743638085377277
entropy,3,50,5,sqrt,0.5741088488532845
entropy,3,50,10,sqrt,0.5741088488532845
gini,3,50,10,sqrt,0.5735934325772465
entropy,3,10,5,sqrt,0.5729211845949683
entropy,3,20,5,sqrt,0.5728457529950313
gini,5,20,20,sqrt,0.5691574478517905
gini,5,10,20,sqrt,0.5691574478517905
entropy,,50,5,sqrt,0.5684898647126373
gini,,20,20,sqrt,0.5610367795626228
gini,,10,20,sqrt,0.5610367795626228
gini,10,50,20,sqrt,0.5565448790704466
gini,,50,20,sqrt,0.5565448790704466
gini,10,20,20,sqrt,0.554728730027019
gini,10,10,20,sqrt,0.554728730027019
gini,5,50,20,sqrt,0.5531927661393521
gini,3,50,20,sqrt,0.5515322886958717
gini,3,20,20,sqrt,0.5515322886958717
gini,3,10,20,sqrt,0.5515322886958717
