scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,True,l1,0.1,1000,0.7996592234916358
True,True,l1,0.1,5000,0.7996592234916358
True,True,l1,1.0,1000,0.7158698876017847
True,True,l1,1.0,5000,0.7158698876017847
True,True,l1,10.0,1000,0.7102980900376084
True,True,l1,10.0,5000,0.7102980900376084
True,True,l1,0.0001,1000,0.5
True,True,l1,0.0001,5000,0.5
True,True,l1,0.001,1000,0.5
True,True,l1,0.001,5000,0.5
True,True,l1,0.01,1000,0.426864224402747
True,True,l1,0.01,5000,0.426864224402747
